SGDID	GeneID	Alias	GO Term
YAR031W	PRM9	PRM9	GO:0003674,GO:0005783,GO:0005783,GO:0005886,GO:0008150,SO:0000704
YAR033W	MST28	MST28	GO:0003674,GO:0005783,GO:0005783,GO:0005783,GO:0005794,GO:0005886,GO:0016021,GO:0016050,GO:0016050,SO:0000704
YAR035W	YAT1	YAT1	GO:0004095,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0009437,SO:0000704
YAR035C-A	YAR035C-A	-	GO:0003674,GO:0005739,GO:0005739,GO:0008150,SO:0000704
YAR042W	SWH1	SWH1,OSH1,YAR044W	GO:0000138,GO:0005635,GO:0005769,GO:0005783,GO:0006887,GO:0006897,GO:0008289,GO:0015918,GO:0015918,GO:0030011,GO:0034727,GO:0071561,GO:0120015,SO:0000704
YAR047C	YAR047C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR050W	FLO1	FLO1,FLO2,FLO4	GO:0000128,GO:0000128,GO:0000128,GO:0000128,GO:0000128,GO:0005537,GO:0009277,GO:0009277,GO:0071944,SO:0000704
YAR053W	YAR053W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR060C	YAR060C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR064W	YAR064W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR066W	YAR066W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR068W	YAR068W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR069C	YAR069C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR070C	YAR070C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR071W	PHO11	PHO11	GO:0003993,GO:0005576,GO:0006796,GO:0071944,SO:0000704
YAR073W	IMD1	IMD1	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAR075W	YAR075W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL113C	YBL113C	-	GO:0005575,GO:0008150,SO:0000704
YBL113W-A	YBL113W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL112C	YBL112C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL111C	YBL111C	-	GO:0003674,GO:0005739,GO:0008150,SO:0000704
YBL109W	YBL109W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL108C-A	PAU9	PAU9	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL108W	YBL108W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL107W-A	YBL107W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL107C	MIX23	MIX23,MIC23	GO:0003674,GO:0005737,GO:0005739,GO:0005758,GO:0008150,SO:0000704
YBL106C	SRO77	SRO77,SNI2,SOP2	GO:0003674,GO:0005886,GO:0005935,GO:0006887,GO:0006893,GO:0006893,SO:0000704
YBL105C	PKC1	PKC1,CLY15,CLY5,CLY7,HPO2,RSF8,STT1	GO:0004697,GO:0004697,GO:0005634,GO:0005737,GO:0005856,GO:0005886,GO:0005935,GO:0006468,GO:0007165,GO:0009612,GO:0010494,GO:0010606,GO:0030242,GO:0030427,GO:0032165,GO:0032186,GO:0034063,GO:0035556,GO:0060211,GO:0060237,SO:0000704
YBL104C	SEA4	SEA4,YBL103C-A	GO:0003674,GO:0005737,GO:0035859,GO:0097042,GO:1904263,SO:0000704
YBL103C	RTG3	RTG3	GO:0000422,GO:0000981,GO:0000981,GO:0005634,GO:0005737,GO:0031930,GO:0043565,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0061629,GO:0071400,GO:0071400,SO:0000704
YBL102W	SFT2	SFT2	GO:0000138,GO:0000139,GO:0000139,GO:0003674,GO:0042147,SO:0000704
YBL101C	ECM21	ECM21,ART2	GO:0005737,GO:0005829,GO:0031625,GO:0070086,GO:0070086,GO:0070086,GO:0070086,SO:0000704
YBL100W-C	YBL100W-C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL100C	YBL100C	-	GO:0003674,GO:0005789,GO:0008150,SO:0000704
YBL099W	ATP1	ATP1	GO:0005739,GO:0005739,GO:0005739,GO:0005754,GO:0005754,GO:0005754,GO:0015986,GO:0015986,GO:0016887,GO:0042645,GO:0046933,GO:0046933,GO:0046933,SO:0000704
YBL098W	BNA4	BNA4	GO:0004502,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005741,GO:0034354,SO:0000704
YBL097W	BRN1	BRN1	GO:0000070,GO:0000796,GO:0003682,GO:0005634,GO:0007076,GO:0007076,GO:0007076,GO:0070058,SO:0000704
YBL096C	YBL096C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL095W	MRX3	MRX3	GO:0003674,GO:0005739,GO:0005739,GO:0005739,GO:0005743,GO:0008150,SO:0000704
YBL094C	YBL094C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL093C	ROX3	ROX3,MED19,NUT3,RMR1,SSN7,SSX2	GO:0000122,GO:0001113,GO:0003713,GO:0005634,GO:0045944,GO:0051123,GO:0070847,SO:0000704
YBL092W	RPL32	RPL32,L32,L32e,eL32	GO:0002181,GO:0003735,GO:0022625,SO:0000704
YBL091C-A	SCS22	SCS22	GO:0003674,GO:0005829,GO:0008654,GO:0060304,GO:0090158,SO:0000704
YBL091C	MAP2	MAP2	GO:0005634,GO:0005737,GO:0035551,GO:0070006,SO:0000704
YBL090W	MRP21	MRP21,MRP50,bS21m	GO:0003735,GO:0005739,GO:0005739,GO:0005763,GO:0032543,GO:0070124,SO:0000704
YBL089W	AVT5	AVT5	GO:0016020,GO:0022857,GO:0055085,SO:0000704
YBL088C	TEL1	TEL1	GO:0000723,GO:0000723,GO:0000723,GO:0004672,GO:0004674,GO:0005634,GO:0005634,GO:0005739,GO:0005739,GO:0006281,GO:0006302,GO:0006302,GO:0006974,GO:0006975,GO:0016310,GO:0016572,GO:0016572,GO:0016572,GO:0016572,GO:0042162,SO:0000704
YBL087C	RPL23A	RPL23A,L14,L17aA,L23A,YL32,uL14	GO:0002181,GO:0003735,GO:0022625,SO:0000704
YBL086C	YBL086C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL085W	BOI1	BOI1,BOB1,GIN7	GO:0000920,GO:0005543,GO:0005543,GO:0005737,GO:0005886,GO:0005933,GO:0005935,GO:0005935,GO:0007015,GO:0007118,GO:0030427,GO:0043332,GO:0099500,SO:0000704
YBL084C	CDC27	CDC27,APC3,SNB1	GO:0005680,GO:0016567,GO:0016567,GO:0031145,GO:0031145,GO:0034399,GO:0061630,SO:0000704
YBL083C	YBL083C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL082C	ALG3	ALG3,RHK1	GO:0005783,GO:0005783,GO:0006486,GO:0006490,GO:0006490,GO:0052925,SO:0000704
YBL081W	YBL081W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL080C	PET112	PET112	GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0030956,GO:0032543,GO:0050567,GO:0070681,SO:0000704
YBL079W	NUP170	NUP170,NLE3	GO:0003682,GO:0005643,GO:0006913,GO:0007059,GO:0016584,GO:0017056,GO:0017056,GO:0017056,GO:0017056,GO:0017056,GO:0031507,GO:0034398,GO:0036228,GO:0036228,GO:0044611,GO:0044877,GO:0051292,GO:0051292,GO:1990841,SO:0000704
YBL078C	ATG8	ATG8,APG8,AUT7,CVT5	GO:0000329,GO:0000329,GO:0000407,GO:0000407,GO:0000407,GO:0000407,GO:0000407,GO:0000422,GO:0005776,GO:0005776,GO:0005811,GO:0005829,GO:0006888,GO:0006888,GO:0006888,GO:0008429,GO:0016241,GO:0019898,GO:0031386,GO:0031503,GO:0032258,GO:0032258,GO:0034497,GO:0034727,GO:0044805,GO:0061025,GO:0061025,GO:0061709,GO:0071211,GO:0120095,GO:0140042,GO:1905153,SO:0000704
YBL077W	YBL077W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL076C	ILS1	ILS1	GO:0004822,GO:0004822,GO:0005829,GO:0006428,SO:0000704
YBL075C	SSA3	SSA3,YG106	GO:0005829,GO:0006457,GO:0006515,GO:0006616,GO:0016887,GO:0051082,SO:0000704
YBL074C	AAR2	AAR2	GO:0000244,GO:0003674,GO:0005682,SO:0000704
YBL073W	YBL073W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL072C	RPS8A	RPS8A,S14A,S8A,S8e,YS9,eS8,rp19	GO:0000462,GO:0002181,GO:0003735,GO:0022627,GO:0030686,SO:0000704
YBL071C-B	YBL071C-B	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL071W-A	KTI11	KTI11,DPH3	GO:0002098,GO:0005506,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0008270,GO:0016730,GO:0017183,SO:0000704
YBL071C	YBL071C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL070C	YBL070C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL069W	AST1	AST1	GO:0003674,GO:0005770,GO:0005794,GO:0005886,GO:0006612,GO:0032596,GO:0032596,GO:0045121,SO:0000704
YBL068W-A	YBL068W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YBL068W	PRS4	PRS4	GO:0002189,GO:0004749,GO:0005737,GO:0006015,GO:0006015,GO:0031505,SO:0000704
YBL067C	UBP13	UBP13	GO:0004843,GO:0005575,GO:0010995,SO:0000704
YBL066C	SEF1	SEF1	GO:0003674,GO:0005575,GO:0008150,SO:0000704
